id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
76072115,2021/05/01 8:18 AM CEST,2021-05-01,2021-05-01 06:18:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:04 UTC,2021-05-01 10:08:01 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072115,https://inaturalist-open-data.s3.amazonaws.com/photos/124465967/medium.jpeg,,"","",2,0,false,,"5310 St. Lorenz, Österreich",47.8224831397,13.3608047386,31,31,,open,false,,,Höckerschwan,Cygnus olor,Höckerschwan,Aves,6921,Chordata,Aves,Anseriformes,,Anatidae,,,Cygnus,Cygnus olor
76072116,2021/05/01 8:31 AM CEST,2021-05-01,2021-05-01 06:31:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:04 UTC,2021-05-01 08:33:04 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/76072116,https://inaturalist-open-data.s3.amazonaws.com/photos/124466016/medium.jpeg,,"","",0,0,false,,"Mondsee, Österreich",47.8209875722,13.3653893121,15,15,,open,false,,,Mittelmeermöwe,Larus michahellis,Mittelmeermöwe,Aves,59202,Chordata,Aves,Charadriiformes,,Laridae,Larinae,,Larus,Larus michahellis
76072119,2021/05/01 8:52 AM CEST,2021-05-01,2021-05-01 06:52:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:05 UTC,2021-05-01 08:40:01 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072119,https://inaturalist-open-data.s3.amazonaws.com/photos/124466116/medium.jpeg,,"","",1,0,false,,"5310 St. Lorenz, Österreich",47.8200783825,13.3621895045,31,31,,open,false,,,Klappergrasmücke,Sylvia curruca,Klappergrasmücke,Aves,15288,Chordata,Aves,Passeriformes,,Sylviidae,,,Sylvia,Sylvia curruca
76072120,2021/05/01 8:57 AM CEST,2021-05-01,2021-05-01 06:57:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 08:33:05 UTC,2021-05-01 08:39:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/76072120,https://inaturalist-open-data.s3.amazonaws.com/photos/124466197/medium.jpeg,,"","",1,0,false,,"5310 St. Lorenz, Österreich",47.8204333526,13.3618518723,61,61,,open,false,,,Mäusebussard,Buteo buteo,Mäusebussard,Aves,204472,Chordata,Aves,Accipitriformes,,Accipitridae,,,Buteo,Buteo buteo
76093243,2021-05-01 12:33:19,2021-05-01,2021-05-01 12:33:19 UTC,UTC,4329175,martina400,2021-05-01 10:48:46 UTC,2021-05-03 18:09:40 UTC,research,,https://www.inaturalist.org/observations/76093243,https://static.inaturalist.org/photos/124498857/medium.jpeg,,"",,3,0,false,2,"4893 Zell am Moos, Österreich",47.9235826,13.3437405,2000,2000,,,false,,,Faden-Ehrenpreis,Veronica filiformis,Faden-Ehrenpreis,Plantae,55825,Tracheophyta,Magnoliopsida,Lamiales,,Plantaginaceae,,Veroniceae,Veronica,Veronica filiformis
76093270,2021-05-01 12:34:34,2021-05-01,2021-05-01 10:34:34 UTC,Vienna,4329175,martina400,2021-05-01 10:48:56 UTC,2021-05-03 06:16:17 UTC,casual,,https://www.inaturalist.org/observations/76093270,https://static.inaturalist.org/photos/124498901/medium.jpeg,,"",,2,0,true,2,"4893 Zell am Moos, Österreich",47.9261528955,13.3416050584,19,19,,,false,,,Gartenaurikel,Primula × pubescens,Gartenaurikel,Plantae,742844,Tracheophyta,Magnoliopsida,Ericales,,Primulaceae,Primuloideae,Primuleae,Primula,
76093312,2021-05-01 12:35:40,2021-05-01,2021-05-01 10:35:40 UTC,Vienna,4329175,martina400,2021-05-01 10:49:07 UTC,2021-05-05 03:40:21 UTC,research,,https://www.inaturalist.org/observations/76093312,https://static.inaturalist.org/photos/124498947/medium.jpeg,,"",,2,0,false,2,"4893 Zell am Moos, Österreich",47.9262038276,13.3414892677,19,19,,,false,,,Gänseblümchen,Bellis perennis,Gänseblümchen,Plantae,55563,Tracheophyta,Magnoliopsida,Asterales,,Asteraceae,Asteroideae,Astereae,Bellis,Bellis perennis
76093347,2021-05-01 12:36:58,2021-05-01,2021-05-01 10:36:58 UTC,Vienna,4329175,martina400,2021-05-01 10:49:18 UTC,2021-05-06 06:46:30 UTC,research,,https://www.inaturalist.org/observations/76093347,https://static.inaturalist.org/photos/124498976/medium.jpeg,,"",,1,0,false,2,"4893 Zell am Moos, Österreich",47.9262418959,13.3416354978,19,19,,,false,,,Wald-Schlüsselblume,Primula elatior,Wald-Schlüsselblume,Plantae,55840,Tracheophyta,Magnoliopsida,Ericales,,Primulaceae,Primuloideae,Primuleae,Primula,Primula elatior
76093362,2021-05-01 12:37:51,2021-05-01,2021-05-01 10:37:51 UTC,Vienna,4329175,martina400,2021-05-01 10:49:28 UTC,2021-05-05 03:39:46 UTC,needs_id,,https://www.inaturalist.org/observations/76093362,https://static.inaturalist.org/photos/124499022/medium.jpeg,,"",,1,0,false,2,"4893 Zell am Moos, Österreich",47.9264910885,13.341779187,19,19,,,false,,,Löwenzahn,Taraxacum officinale,Löwenzahn,Plantae,47602,Tracheophyta,Magnoliopsida,Asterales,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,Taraxacum officinale
76093396,2021-05-01 12:40:16,2021-05-01,2021-05-01 10:40:16 UTC,Vienna,4329175,martina400,2021-05-01 10:49:41 UTC,2021-05-03 06:15:52 UTC,needs_id,,https://www.inaturalist.org/observations/76093396,https://static.inaturalist.org/photos/124499072/medium.jpeg,,"",,0,0,false,2,"4893 Zell am Moos, Österreich",47.9264266986,13.3416374441,19,19,,,false,,,,Apiaceae,Doldenblütler,Plantae,48699,Tracheophyta,Magnoliopsida,Apiales,,Apiaceae,,,,
76093435,2021-05-01 12:41:34,2021-05-01,2021-05-01 10:41:34 UTC,Vienna,4329175,martina400,2021-05-01 10:49:52 UTC,2021-05-03 02:51:35 UTC,research,,https://www.inaturalist.org/observations/76093435,https://static.inaturalist.org/photos/124499124/medium.jpeg,,"",,1,0,false,2,"4893 Zell am Moos, Österreich",47.9261698026,13.3415215464,19,19,,,false,,,Behaartes Schaumkraut,Cardamine hirsuta,Behaartes Schaumkraut,Plantae,55829,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,Cardamineae,Cardamine,Cardamine hirsuta
76093474,2021-05-01 12:43:27,2021-05-01,2021-05-01 10:43:27 UTC,Vienna,4329175,martina400,2021-05-01 10:50:05 UTC,2021-05-04 04:30:56 UTC,casual,,https://www.inaturalist.org/observations/76093474,https://static.inaturalist.org/photos/124499157/medium.jpeg,,"",,1,0,true,2,"4893 Zell am Moos, Österreich",47.9260061,13.3417148,20,20,,,false,,,Gelbe Narzisse,Narcissus pseudonarcissus,Gelbe Narzisse,Plantae,55848,Tracheophyta,Liliopsida,Asparagales,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,Narcissus pseudonarcissus
76131612,2021-05-01 15:39:03,2021-05-01,2021-05-01 13:39:03 UTC,Vienna,4329175,martina400,2021-05-01 13:39:50 UTC,2021-05-01 16:00:09 UTC,research,,https://www.inaturalist.org/observations/76131612,https://static.inaturalist.org/photos/124554406/medium.jpeg,,"",,1,0,false,2,"Gemeinde Tiefgraben, Österreich",47.8495740026,13.3740949405,19,19,,,false,,,Kriechender Günsel,Ajuga reptans,Kriechender Günsel,Plantae,56099,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,Ajugoideae,,Ajuga,Ajuga reptans
76136364,2021/05/01 9:54 AM CEST,2021-05-01,2021-05-01 07:54:00 UTC,Vienna,1479221,mondseeirrsee,2021-05-01 13:56:49 UTC,2021-05-01 14:43:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/76136364,https://inaturalist-open-data.s3.amazonaws.com/photos/124559850/medium.jpeg,,"",,1,0,false,,"5310 St. Lorenz, Österreich",47.8197472222,13.3636361111,32,32,,,false,,,Buschwindröschen,Anemonoides nemorosa,Buschwindröschen,Plantae,950603,Tracheophyta,Magnoliopsida,Ranunculales,,Ranunculaceae,Ranunculoideae,Anemoneae,Anemonoides,Anemonoides nemorosa
