id;obs_id;obs_name
75825177;2063870,2626695,1479221;jakobbrejcha,brothernorbert,mondseeirrsee
75825770;2063870,2626695;jakobbrejcha,brothernorbert
75825939;2063870,2626695,2438113;jakobbrejcha,brothernorbert,pastabaum
75826252;793005,1479221,2438113;twan3253,mondseeirrsee,pastabaum
75827088;2063870,477431;jakobbrejcha,carnifex
75827385;2063870,1475331,2477443;jakobbrejcha,radekwalkowiak,gabrielmayrhofer
75827962;2063870;jakobbrejcha
75828498;2063870;jakobbrejcha
75829144;2063870,2626695,2477443;jakobbrejcha,brothernorbert,gabrielmayrhofer
75829211;4244602;isabella_ostovary
75829493;2063870,2626695,477431;jakobbrejcha,brothernorbert,carnifex
75829955;2063870;jakobbrejcha
75830588;4270921,2329740,960916,793005;sonstwer,karimstrohriegl,szucsich,twan3253
75831074;2063870,2626695;jakobbrejcha,brothernorbert
75831881;4244602,2626695;isabella_ostovary,brothernorbert
75832380;2063870,2626695,2438113;jakobbrejcha,brothernorbert,pastabaum
75833949;2063870,1422904,670673;jakobbrejcha,bettyglatzhofer,lozifer
75834083;2063870,2477443;jakobbrejcha,gabrielmayrhofer
75834117;4285323,4244602;julian318,isabella_ostovary
75834588;2063870,477431;jakobbrejcha,carnifex
75835226;3462954,2626695,3462954;franzgraf,brothernorbert,franzgraf
75835298;4304167;jangraf
75835762;4304167,2435044,2626695;jangraf,igor_kuzmin,brothernorbert
75836110;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75836216;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75836459;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75836693;4304167,2626695,477431;jangraf,brothernorbert,carnifex
75836743;3462954,2626695,2438113;franzgraf,brothernorbert,pastabaum
75837016;4244602,2626695;isabella_ostovary,brothernorbert
75837136;3462954,2626695;franzgraf,brothernorbert
75837385;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75837677;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75838008;4304167,2626695;jangraf,brothernorbert
75838045;3462954,3638742;franzgraf,jf920
75838400;3462954,2626695;franzgraf,brothernorbert
75838552;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75838675;4304167,2626695,2477443;jangraf,brothernorbert,gabrielmayrhofer
75838742;4244602;isabella_ostovary
75838994;985739,4354090,985739;brigospo,oakhornlet,brigospo
75839126;4304167,2626695;jangraf,brothernorbert
75839326;4244602;isabella_ostovary
75839356;985739,4354090,2626695,985739;brigospo,oakhornlet,brothernorbert,brigospo
75839451;3462954,2626695,4304167;franzgraf,brothernorbert,jangraf
75839618;985739,2626695,985739;brigospo,brothernorbert,brigospo
75839903;4304167,3638742,2626695;jangraf,jf920,brothernorbert
75840033;3462954,2626695,2438113,2626695;franzgraf,brothernorbert,pastabaum,brothernorbert
75840105;985739,2435044;brigospo,igor_kuzmin
75840693;2818064,2626695,1479221;floriolusfloriolus,brothernorbert,mondseeirrsee
75840762;2818064,601423,3022719;floriolusfloriolus,huzi0131,danielahlavka
75840776;3462954;franzgraf
75840806;985739,2626695;brigospo,brothernorbert
75840818;3462954,2626695,4304167,4323624;franzgraf,brothernorbert,jangraf,hederahelix
75840826;2818064,3666055,3022719,155951;floriolusfloriolus,cleeb,danielahlavka,tom-kirschey
75840924;2818064,960916,3331215,2818064,477431;floriolusfloriolus,szucsich,jfmantis,floriolusfloriolus,carnifex
75841027;2818064;floriolusfloriolus
75841050;3462954,3638742,2626695;franzgraf,jf920,brothernorbert
75841068;2818064,2626695;floriolusfloriolus,brothernorbert
75841325;3462954,2626695;franzgraf,brothernorbert
75841343;1485790,2626695,985739,985739;cpu,brothernorbert,brigospo,brigospo
75841496;4323624,985739;hederahelix,brigospo
75841656;3462954;franzgraf
75842010;985739,2626695;brigospo,brothernorbert
75842128;3462954,2626695,477431;franzgraf,brothernorbert,carnifex
75842472;3462954,2438113,477431;franzgraf,pastabaum,carnifex
75842515;985739;brigospo
75842876;3462954,2626695;franzgraf,brothernorbert
75842892;4304167,2438113,477431;jangraf,pastabaum,carnifex
75843205;3462954,2626695;franzgraf,brothernorbert
75843423;3462954,2626695;franzgraf,brothernorbert
75843804;3462954,2438113,477431;franzgraf,pastabaum,carnifex
75843943;3462954,2438113,477431;franzgraf,pastabaum,carnifex
75844358;4323624,2626695,985739;hederahelix,brothernorbert,brigospo
75844445;4235899,1485790,4235899;ninano,cpu,ninano
75844456;985739,2626695,4323624,985739;brigospo,brothernorbert,hederahelix,brigospo
75844547;3462954,2626695,3462954;franzgraf,brothernorbert,franzgraf
75844737;4235899;ninano
75845340;3462954,2626695,2438113;franzgraf,brothernorbert,pastabaum
75845384;4235899,4235899;ninano,ninano
75845694;3462954,477431;franzgraf,carnifex
75845813;4235899,1485790;ninano,cpu
75846065;4235899,2426747,4235899;ninano,bernhardhausdorf,ninano
75846330;3462954,2626695,2438113;franzgraf,brothernorbert,pastabaum
75846503;3462954,2626695,2438113;franzgraf,brothernorbert,pastabaum
75846674;4321470,960916;chr1100010,szucsich
75846883;4240784,2626695,4240784;kleeumgebung,brothernorbert,kleeumgebung
75847027;4321470;chr1100010
75847983;3462954,2626695,4304167,3462954;franzgraf,brothernorbert,jangraf,franzgraf
75847994;4240784,3078835,4240784;kleeumgebung,mykytaperegrym,kleeumgebung
75849085;4240784,169070;kleeumgebung,roby
75851285;4240784;kleeumgebung
75852635;4240784,2626695,4240784;kleeumgebung,brothernorbert,kleeumgebung
75853088;4235899,4235899,2626695;ninano,ninano,brothernorbert
75854089;4321559,2438113;philosoph666,pastabaum
75854256;4323624,4264458;hederahelix,dawae7
75854499;4323624,2435044,4264458;hederahelix,igor_kuzmin,dawae7
75854754;4323624,4264458;hederahelix,dawae7
